,datetime,temp,humid,precip,precip_form,windspd
194,2021-01-09-02, -11.700000 , 43.000000 , 0.000000 ,0.0, 1.800000 
195,2021-01-09-03, -9.200000 , 37.000000 , 0.000000 ,0.0, 1.800000 
196,2021-01-09-04, -7.800000 , 31.000000 , 0.000000 ,0.0, 1.100000 
197,2021-01-09-05, -7.800000 , 30.000000 , 0.000000 ,0.0, 3.300000 
198,2021-01-09-06, -8.000000 , 30.000000 , 0.000000 ,0.0, 2.700000 
199,2021-01-09-07, -9.200000 , 34.000000 , 0.000000 ,0.0, 1.800000 
200,2021-01-09-08, -11.800000 , 44.000000 , 0.000000 ,0.0, 0.500000 
201,2021-01-09-09, -13.200000 , 51.000000 , 0.000000 ,0.0, 1.300000 
202,2021-01-09-10, -14.600000 , 60.000000 , 0.000000 ,0.0, 0.900000 
203,2021-01-09-11, -15.400000 , 64.000000 , 0.000000 ,0.0, 0.600000 
204,2021-01-09-12, -15.500000 , 61.000000 , 0.000000 ,0.0, 0.900000 
205,2021-01-09-13, -16.299999 , 63.000000 , 0.000000 ,0.0, 1.000000 
206,2021-01-09-14, -17.299999 , 70.000000 , 0.000000 ,0.0, 0.400000 
207,2021-01-09-15, -17.200001 , 69.000000 , 0.000000 ,0.0, 1.000000 
208,2021-01-09-16, -17.400000 , 71.000000 , 0.000000 ,0.0, 0.400000 
209,2021-01-09-17, -18.100000 , 76.000000 , 0.000000 ,0.0, 0.300000 
210,2021-01-09-18, -18.100000 , 77.000000 , 0.000000 ,0.0, 0.200000 
211,2021-01-09-19, -18.900000 , 80.000000 , 0.000000 ,0.0, 1.000000 
212,2021-01-09-20, -18.700001 , 79.000000 , 0.000000 ,0.0, 1.200000 
213,2021-01-09-21, -19.200001 , 82.000000 , 0.000000 ,0.0, 0.300000 
214,2021-01-09-22, -19.200001 , 83.000000 , 0.000000 ,0.0, 0.500000 
215,2021-01-09-23, -15.900000 , 79.000000 , 0.000000 ,0.0, 0.200000 
216,2021-01-10-00, -13.300000 , 65.000000 , 0.000000 ,0.0, 0.300000 
217,2021-01-10-01, -10.500000 , 49.000000 , 0.000000 ,0.0, 0.900000 
218,2021-01-10-02, -8.800000 , 43.000000 , 0.000000 ,0.0, 1.100000 
219,2021-01-10-03, -7.300000 , 40.000000 , 0.000000 ,0.0, 0.500000 
220,2021-01-10-04, -6.000000 , 41.000000 , 0.000000 ,0.0, 0.900000 
221,2021-01-10-05, -5.300000 , 39.000000 , 0.000000 ,0.0, 0.600000 
222,2021-01-10-06, -4.800000 , 39.000000 , 0.000000 ,0.0, 0.500000 
223,2021-01-10-07, -4.900000 , 40.000000 , 0.000000 ,0.0, 0.400000 
224,2021-01-10-08, -6.300000 , 50.000000 , 0.000000 ,0.0, 0.700000 
225,2021-01-10-09, -8.000000 , 60.000000 , 0.000000 ,0.0, 0.700000 
226,2021-01-10-10, -8.700000 , 63.000000 , 0.000000 ,0.0, 1.400000 
227,2021-01-10-11, -10.100000 , 65.000000 , 0.000000 ,0.0, 1.000000 
228,2021-01-10-12, -10.800000 , 70.000000 , 0.000000 ,0.0, 0.500000 
229,2021-01-10-13, -11.500000 , 76.000000 , 0.000000 ,0.0, 0.300000 
230,2021-01-10-14, -14.000000 , 79.000000 , 0.000000 ,0.0, 0.800000 
231,2021-01-10-15, -13.700000 , 83.000000 , 0.000000 ,0.0, 0.600000 
232,2021-01-10-16, -15.000000 , 84.000000 , 0.000000 ,0.0, 0.500000 
233,2021-01-10-17, -15.400000 , 86.000000 , 0.000000 ,0.0, 0.900000 
234,2021-01-10-18, -16.200001 , 86.000000 , 0.000000 ,0.0, 0.300000 
235,2021-01-10-19, -15.900000 , 89.000000 , 0.000000 ,0.0, 0.700000 
236,2021-01-10-20, -16.200001 , 88.000000 , 0.000000 ,0.0, 1.300000 
237,2021-01-10-21, -15.800000 , 88.000000 , 0.000000 ,0.0, 0.000000 
238,2021-01-10-22, -15.000000 , 88.000000 , 0.000000 ,0.0, 0.900000 
239,2021-01-10-23, -12.800000 , 88.000000 , 0.000000 ,0.0, 1.000000 
240,2021-01-11-00, -11.700000 , 86.000000 , 0.000000 ,0.0, 0.600000 
241,2021-01-11-01, -10.500000 , 80.000000 , 0.000000 ,0.0, 0.100000 
242,2021-01-11-02, -9.300000 , 76.000000 , 0.000000 ,0.0, 0.400000 
243,2021-01-11-03, -7.800000 , 73.000000 , 0.000000 ,0.0, 0.900000 
244,2021-01-11-04, -7.100000 , 64.000000 , 0.000000 ,0.0, 0.900000 
245,2021-01-11-05, -6.300000 , 62.000000 , 0.000000 ,0.0, 0.800000 
246,2021-01-11-06, -5.900000 , 57.000000 , 0.000000 ,0.0, 0.400000 
247,2021-01-11-07, -6.200000 , 58.000000 , 0.000000 ,0.0, 0.100000 
248,2021-01-11-08, -7.100000 , 65.000000 , 0.000000 ,0.0, 1.400000 
249,2021-01-11-09, -8.200000 , 67.000000 , 0.000000 ,0.0, 0.400000 
250,2021-01-11-10, -9.900000 , 75.000000 , 0.000000 ,0.0, 0.500000 
251,2021-01-11-11, -10.600000 , 78.000000 , 0.000000 ,0.0, 1.100000 
252,2021-01-11-12, -11.500000 , 83.000000 , 0.000000 ,0.0, 0.600000 
253,2021-01-11-13, -12.300000 , 86.000000 , 0.000000 ,0.0, 0.400000 
254,2021-01-11-14, -13.200000 , 87.000000 , 0.000000 ,0.0, 0.100000 
255,2021-01-11-15, -13.000000 , 88.000000 , 0.000000 ,0.0, 0.500000 
256,2021-01-11-16, -14.300000 , 89.000000 , 0.000000 ,0.0, 0.200000 
257,2021-01-11-17, -14.800000 , 89.000000 , 0.000000 ,0.0, 0.200000 
258,2021-01-11-18, -15.300000 , 90.000000 , 0.000000 ,0.0, 0.000000 
259,2021-01-11-19, -15.900000 , 89.000000 , 0.000000 ,0.0, 0.400000 
260,2021-01-11-20, -16.200001 , 89.000000 , 0.000000 ,0.0, 0.300000 
261,2021-01-11-21, -15.700000 , 88.000000 , 0.000000 ,0.0, 0.500000 
262,2021-01-11-22, -14.900000 , 89.000000 , 0.000000 ,0.0, 0.400000 
263,2021-01-11-23, -12.900000 , 90.000000 , 0.000000 ,0.0, 0.200000 
264,2021-01-12-00, -11.000000 , 94.000000 , 0.000000 ,3.0, 0.500000 
265,2021-01-12-01, -9.000000 , 87.000000 , 0.000000 ,0.0, 0.900000 
266,2021-01-12-02, -5.900000 , 66.000000 , 0.000000 ,0.0, 0.500000 
267,2021-01-12-03, -4.700000 , 61.000000 , 0.000000 ,0.0, 1.200000 
268,2021-01-12-04, -3.700000 , 59.000000 , 0.000000 ,0.0, 0.900000 
269,2021-01-12-05, -3.500000 , 60.000000 , 0.000000 ,0.0, 0.500000 
270,2021-01-12-06, -2.800000 , 62.000000 , 0.000000 ,0.0, 0.900000 
271,2021-01-12-07, -4.100000 , 84.000000 , 0.100000 ,3.0, 0.400000 
272,2021-01-12-08, -4.600000 , 95.000000 , 0.600000 ,3.0, 0.000000 
273,2021-01-12-09, -5.800000 , 96.000000 , 0.200000 ,0.0, 0.000000 
274,2021-01-12-10, -7.500000 , 96.000000 , 0.000000 ,3.0, 0.000000 
275,2021-01-12-11, -7.800000 , 95.000000 , 0.000000 ,0.0, 0.600000 
276,2021-01-12-12, -7.300000 , 96.000000 , 0.000000 ,3.0, 0.500000 
277,2021-01-12-13, -6.100000 , 96.000000 , 0.000000 ,0.0, 0.300000 
278,2021-01-12-14, -5.900000 , 96.000000 , 0.000000 ,0.0, 0.300000 
279,2021-01-12-15, -5.400000 , 96.000000 , 0.000000 ,0.0, 0.300000 
280,2021-01-12-16, -5.100000 , 96.000000 , 0.000000 ,3.0, 0.300000 
281,2021-01-12-17, -5.200000 , 96.000000 , 0.000000 ,0.0, 0.700000 
282,2021-01-12-18, -5.000000 , 97.000000 , 0.000000 ,0.0, 0.000000 
283,2021-01-12-19, -5.100000 , 96.000000 , 0.000000 ,0.0, 0.100000 
284,2021-01-12-20, -4.900000 , 97.000000 , 0.000000 ,0.0, 0.200000 
285,2021-01-12-21, -5.100000 , 97.000000 , 0.000000 ,0.0, 0.300000 
286,2021-01-12-22, -5.400000 , 96.000000 , 0.000000 ,0.0, 0.400000 
287,2021-01-12-23, -4.300000 , 96.000000 , 0.000000 ,0.0, 0.000000 
288,2021-01-13-00, -2.300000 , 92.000000 , 0.000000 ,0.0, 0.100000 
289,2021-01-13-01, 1.000000 , 85.000000 , 0.000000 ,0.0, 0.300000 
290,2021-01-13-02, 1.400000 , 84.000000 , 0.000000 ,0.0, 1.700000 
291,2021-01-13-03, 2.600000 , 79.000000 , 0.000000 ,0.0, 0.900000 
292,2021-01-13-04, 3.600000 , 76.000000 , 0.000000 ,0.0, 0.800000 
293,2021-01-13-05, 5.100000 , 70.000000 , 0.000000 ,0.0, 1.400000 
294,2021-01-13-06, 4.700000 , 74.000000 , 0.000000 ,0.0, 1.200000 
295,2021-01-13-07, 4.700000 , 74.000000 , 0.000000 ,0.0, 1.000000 
296,2021-01-13-08, 4.700000 , 83.000000 , 0.000000 ,0.0, 0.900000 
297,2021-01-13-09, 1.900000 , 93.000000 , 0.000000 ,0.0, 0.800000 
298,2021-01-13-10, 1.000000 , 92.000000 , 0.000000 ,0.0, 1.700000 
299,2021-01-13-11, 0.500000 , 93.000000 , 0.000000 ,0.0, 1.200000 
300,2021-01-13-12, 0.200000 , 93.000000 , 0.000000 ,0.0, 1.500000 
301,2021-01-13-13, 0.000000 , 92.000000 , 0.000000 ,0.0, 1.000000 
302,2021-01-13-14, -1.700000 , 93.000000 , 0.000000 ,0.0, 1.300000 
303,2021-01-13-15, -3.100000 , 86.000000 , 0.000000 ,0.0, 1.500000 
304,2021-01-13-16, -4.000000 , 85.000000 , 0.000000 ,0.0, 0.800000 
305,2021-01-13-17, -5.600000 , 85.000000 , 0.000000 ,0.0, 0.000000 
306,2021-01-13-18, -5.700000 , 85.000000 , 0.000000 ,0.0, 1.600000 
307,2021-01-13-19, -6.800000 , 86.000000 , 0.000000 ,0.0, 0.600000 
308,2021-01-13-20, -8.100000 , 84.000000 , 0.000000 ,0.0, 0.600000 
309,2021-01-13-21, -8.600000 , 86.000000 , 0.000000 ,0.0, 0.300000 
310,2021-01-13-22, -8.700000 , 88.000000 , 0.000000 ,0.0, 0.400000 
311,2021-01-13-23, -5.800000 , 85.000000 , 0.000000 ,0.0, 0.100000 
312,2021-01-14-00, -2.800000 , 72.000000 , 0.000000 ,0.0, 0.500000 
313,2021-01-14-01, -0.200000 , 61.000000 , 0.000000 ,0.0, 0.600000 
314,2021-01-14-02, 2.300000 , 50.000000 , 0.000000 ,0.0, 0.700000 
315,2021-01-14-03, 3.100000 , 40.000000 , 0.000000 ,0.0, 1.100000 
